id,sex,observed_on,quality_grade,url,image_url,description,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_county_name,place_state_name,scientific_name,common_name
13908643,m,2018-06-29,research,https://www.inaturalist.org/observations/13908643,https://inaturalist-open-data.s3.amazonaws.com/photos/20545521/medium.jpg,,"Pisgah National Forest, Pisgah Forest, NC, US",35.35122943,-82.7785546,87,,,,87,,,FALSE,,,Transylvania,North Carolina,Speyeria diana,Diana Fritillary
13911444,m,2018-06-29,research,https://www.inaturalist.org/observations/13911444,https://static.inaturalist.org/photos/20550400/medium.jpg,,"Transylvania County, NC, USA",35.33616651,-82.77183224,31250,,,,31250,,,FALSE,,,Transylvania,North Carolina,Speyeria diana,Diana Fritillary
13957817,m,2018-06-23,research,https://www.inaturalist.org/observations/13957817,https://inaturalist-open-data.s3.amazonaws.com/photos/20632467/medium.jpg,,"Henderson County, NC, USA",35.36293223,-82.47786428,8,,,,8,,,FALSE,,,Henderson,North Carolina,Speyeria diana,Diana Fritillary
13992891,f,2018-06-29,research,https://www.inaturalist.org/observations/13992891,https://static.inaturalist.org/photos/20693544/medium.jpg,,"Cumberland County, TN, USA",36.0064494,-85.13681575,546,,,,546,,,FALSE,,,Cumberland,Tennessee,Speyeria diana,Diana Fritillary
13992909,f,2018-07-01,research,https://www.inaturalist.org/observations/13992909,https://inaturalist-open-data.s3.amazonaws.com/photos/20694397/medium.jpeg,"Elder Mountain, Healing Springs Rd",,,,88,,,,28734,private,,TRUE,gps,gps,,,Speyeria diana,Diana Fritillary
14109711,m,2018-06-17,research,https://www.inaturalist.org/observations/14109711,https://inaturalist-open-data.s3.amazonaws.com/photos/20897453/medium.jpeg,ecoEXPLORE Username: Bluewhale13,"North Carolina, US",35.54550863,-82.69923844,,,,,28677,obscured,,TRUE,,,Buncombe,North Carolina,Speyeria diana,Diana Fritillary
14171295,m,2018-06-16,research,https://www.inaturalist.org/observations/14171295,https://inaturalist-open-data.s3.amazonaws.com/photos/21010110/medium.jpg,,"Tennessee, US",35.93540856,-82.85222652,9886,,,,28620,obscured,,TRUE,,,Greene,Tennessee,Speyeria diana,Diana Fritillary
14185234,m,2018-07-05,research,https://www.inaturalist.org/observations/14185234,https://inaturalist-open-data.s3.amazonaws.com/photos/21034063/medium.jpg,,"Dickenson County, VA, USA",37.22926574,-82.48199447,346,,,,346,,,FALSE,,,Dickenson,Virginia,Speyeria diana,Diana Fritillary
14195227,f,2018-07-08,research,https://www.inaturalist.org/observations/14195227,https://inaturalist-open-data.s3.amazonaws.com/photos/21052824/medium.jpg,Female,"Botetourt County, VA, USA",37.66388902,-79.69292868,10,,,,10,,,FALSE,,,Botetourt,Virginia,Speyeria diana,Diana Fritillary
14195827,f,2006-09-03,research,https://www.inaturalist.org/observations/14195827,https://inaturalist-open-data.s3.amazonaws.com/photos/21053940/medium.jpg,"Female, with female Eastern Tiger Swallowtail","Washington County, VA, USA",36.6613948,-81.70292134,10,,,,10,,,FALSE,,,Washington,Virginia,Speyeria diana,Diana Fritillary
